latitude,longitude
39.65521,-104.919169
39.655449,-104.919274
39.65569,-104.919381
39.655936,-104.919486
39.656182,-104.919593
39.65643,-104.919702
39.656676,-104.91981
39.656928,-104.919922
39.657176,-104.920031
39.657422,-104.920138
39.657667,-104.920243
39.657909,-104.920349
39.65815,-104.920453
39.658394,-104.920561
39.658637,-104.92067
39.658882,-104.920777
39.659132,-104.92089
39.659383,-104.920999
39.659642,-104.921112
39.659901,-104.921225
39.660167,-104.921342
39.660435,-104.921458
39.660705,-104.921576
39.660972,-104.921695
39.661238,-104.921815
39.661502,-104.921937
39.661763,-104.922053
39.662025,-104.92217
39.662282,-104.922285
39.662537,-104.922398
39.662791,-104.922508
39.663042,-104.92262
39.663298,-104.922737
39.663551,-104.922857
39.663799,-104.922979
39.664044,-104.923107
39.664286,-104.923239
39.664524,-104.923375
39.664757,-104.923522
39.664987,-104.923673
39.665215,-104.92383
39.665441,-104.923983
39.665665,-104.924135
39.665887,-104.924291
39.666111,-104.924444
39.666334,-104.924601
39.66656,-104.924759
39.666785,-104.924923
39.667006,-104.925078
39.667221,-104.925231
39.667432,-104.925379
39.66764,-104.925525
39.667843,-104.925671
39.668049,-104.925812
39.668258,-104.925953
39.668465,-104.926096
39.668673,-104.92624
39.668883,-104.926386
39.669093,-104.926529
39.669303,-104.926673
39.669518,-104.926814
39.669729,-104.926954
39.669937,-104.927096
39.670142,-104.927242
39.670349,-104.927393
39.670559,-104.927545
39.670773,-104.9277
39.670989,-104.927856
39.6712,-104.928012
39.671414,-104.92816
39.671631,-104.928311
39.671849,-104.928462
39.672067,-104.928621
39.672292,-104.928788
39.672516,-104.928957
39.672742,-104.929126
39.672975,-104.929296
39.67321,-104.929471
39.673448,-104.92965
39.673688,-104.929826
39.673935,-104.930005
39.674186,-104.930185
39.674434,-104.930366
39.674683,-104.930545
39.674929,-104.930724
39.675174,-104.930912
39.675416,-104.931112
39.675658,-104.931317
39.6759,-104.931526
39.676145,-104.931736
39.676389,-104.931946
39.676631,-104.932159
39.676874,-104.93237
39.677118,-104.932589
39.677361,-104.932808
39.67761,-104.933028
39.677859,-104.933247
39.678108,-104.933461
39.678356,-104.933681
39.678591,-104.933898
39.678846,-104.934123
39.679093,-104.934339
39.67934,-104.934556
39.679587,-104.934773
39.679829,-104.934992
39.680074,-104.93521
39.68031,-104.935437
39.68054,-104.935679
39.680764,-104.935926
39.680976,-104.936183
39.681183,-104.936454
39.681385,-104.936732
39.681581,-104.937018
39.681767,-104.937317
39.681943,-104.937624
39.68211,-104.93794
39.682264,-104.938263
39.682409,-104.938587
39.682537,-104.93891
39.682662,-104.939244
39.682781,-104.939585
39.682891,-104.939939
39.68299,-104.9403
39.683091,-104.94066
39.683175,-104.94102
39.683263,-104.941375
39.683352,-104.941728
39.683437,-104.942076
39.683523,-104.942425
39.683609,-104.942776
39.683695,-104.943125
39.683782,-104.943477
39.683872,-104.943823
39.683959,-104.944172
39.684042,-104.944521
39.684127,-104.944869
39.684208,-104.945214
39.684284,-104.945566
39.684362,-104.945917
39.684429,-104.946273
39.684491,-104.946629
39.684546,-104.946989
39.684596,-104.947353
39.684644,-104.947723
39.684688,-104.948091
39.684725,-104.948466
39.684757,-104.948841
39.68478,-104.949216
39.684802,-104.949598
39.684821,-104.949986
39.68483,-104.950375
39.68484,-104.950766
39.68484,-104.95115
39.684838,-104.951535
39.684837,-104.951915
39.68484,-104.952281
39.684839,-104.952642
39.684838,-104.952996
39.684841,-104.953342
39.684844,-104.953688
39.684839,-104.954036
39.684836,-104.954388
39.68483,-104.954738
39.684832,-104.955087
39.684832,-104.955434
39.684832,-104.955783
39.68483,-104.95613
39.68483,-104.956471
39.68483,-104.956814
39.684832,-104.957157
39.684835,-104.9575
39.684837,-104.957842
39.684836,-104.958176
39.684835,-104.958513
39.684832,-104.958844
39.68483,-104.959167
39.68483,-104.959492
39.68483,-104.959815
39.68483,-104.960144
39.684833,-104.96047
39.684841,-104.960803
39.684861,-104.961145
39.684891,-104.961485
39.684933,-104.961832
39.684982,-104.962184
39.685047,-104.962538
39.685123,-104.96289
39.685206,-104.963237
39.6853,-104.963578
39.685404,-104.963906
39.685519,-104.964231
39.685645,-104.964552
39.68578,-104.964877
39.685921,-104.965192
39.686074,-104.965505
39.686228,-104.96582
39.686383,-104.96613
39.686535,-104.966438
39.686687,-104.966744
39.68684,-104.967051
39.686993,-104.967362
39.687148,-104.967673
39.687301,-104.967988
39.687456,-104.968306
39.687611,-104.968624
39.687773,-104.968944
39.687923,-104.969259
39.688078,-104.969577
39.688234,-104.969896
39.688393,-104.970216
39.688553,-104.970539
39.688711,-104.970863
39.688873,-104.971184
39.689032,-104.971502
39.689189,-104.971824
39.689347,-104.972146
39.689502,-104.97247
39.689658,-104.972788
39.689814,-104.973113
39.689975,-104.973438
39.69013,-104.97377
39.690294,-104.974088
39.690453,-104.974404
39.690624,-104.974723
39.690799,-104.975027
39.690982,-104.975319
39.691174,-104.975608
39.691373,-104.975885
39.691579,-104.976154
39.691795,-104.976413
39.692014,-104.97667
39.692234,-104.976919
39.692463,-104.977174
39.692685,-104.977425
39.692918,-104.977682
39.693149,-104.977939
39.693383,-104.978196
39.693616,-104.97845
39.693844,-104.978703
39.694074,-104.978957
39.6943,-104.979208
39.694539,-104.979459
39.694752,-104.979706
39.694972,-104.979953
39.695192,-104.9802
39.695415,-104.980449
39.695637,-104.980694
39.695851,-104.98095
39.696071,-104.981211
39.696297,-104.981479
39.696528,-104.981748
39.69676,-104.982023
39.696996,-104.9823
39.697241,-104.98258
39.697485,-104.982853
39.697727,-104.983121
39.69797,-104.983388
39.698217,-104.983651
39.698464,-104.983916
39.698712,-104.984179
39.698955,-104.984442
39.699194,-104.984708
39.699425,-104.984974
39.699655,-104.985244
39.699877,-104.985513
39.7001,-104.985773
39.70032,-104.986043
39.700534,-104.986311
39.700745,-104.986572
39.700952,-104.986832
39.701152,-104.987089
39.701346,-104.987341
39.701533,-104.987586
39.70172,-104.987828
39.701902,-104.988067
39.702081,-104.988299
39.702253,-104.988528
39.702418,-104.988756
39.70258,-104.988987
39.702732,-104.989235
39.702873,-104.989497
39.703002,-104.989772
39.703119,-104.990051
39.703223,-104.990344
39.703325,-104.990646
39.703413,-104.990956
39.703506,-104.991261
39.7036,-104.99157
39.703691,-104.991884
39.703786,-104.99219
39.703883,-104.992504
39.70398,-104.992819
39.704074,-104.99314
39.704173,-104.993462
39.704291,-104.993777
39.70442,-104.99409
39.70457,-104.994396
39.704732,-104.994689
39.70491,-104.994971
39.705099,-104.995239
39.705295,-104.995488
39.705498,-104.99573
39.705718,-104.995949
39.705943,-104.996152
39.706173,-104.996331
39.706407,-104.996495
39.706652,-104.996642
39.706907,-104.996771
39.707169,-104.99689
39.707432,-104.997013
39.707696,-104.997135
39.707967,-104.99726
39.708233,-104.997379
39.708501,-104.997498
39.708776,-104.997627
39.709055,-104.997757
39.70933,-104.997886
39.709606,-104.998021
39.709877,-104.998163
39.710147,-104.998314
39.710414,-104.998466
39.710684,-104.998619
39.710953,-104.998779
39.711231,-104.998937
39.711501,-104.99911
39.711773,-104.99927
39.712041,-104.999426
39.712306,-104.999585
39.712565,-104.999744
39.712821,-104.999907
39.713072,-105.000073
39.713319,-105.000236
39.713571,-105.0004
39.71382,-105.000564
39.714072,-105.000729
39.71432,-105.000893
39.714568,-105.001054
39.714814,-105.00121
39.715059,-105.001367
39.7153,-105.001528
39.715533,-105.001695
39.715762,-105.001872
39.715982,-105.002068
39.716194,-105.002275
39.716392,-105.002495
39.71658,-105.002727
39.716763,-105.002967
39.716941,-105.003221
39.717113,-105.003482
39.717292,-105.003745
39.717472,-105.004014
39.717653,-105.004281
39.717838,-105.004545
39.718022,-105.004809
39.718207,-105.005071
39.718396,-105.005325
39.71859,-105.005575
39.718789,-105.005821
39.71899,-105.006063
39.719201,-105.006301
39.719415,-105.00653
39.719626,-105.006756
39.719834,-105.006976
39.72004,-105.007197
39.720245,-105.007415
39.720448,-105.007635
39.720659,-105.007854
39.720867,-105.008074
39.721075,-105.008297
39.72128,-105.008521
39.721486,-105.008742
39.721695,-105.00896
39.721897,-105.00918
39.722094,-105.009402
39.722282,-105.009641
39.722463,-105.00988
39.722637,-105.010128
39.722812,-105.010377
39.722991,-105.010624
39.723172,-105.010861
39.723362,-105.011099
39.723563,-105.011326
39.723769,-105.011547
39.723984,-105.011766
39.724201,-105.011983
39.724426,-105.012194
39.724653,-105.012397
39.724883,-105.012594
39.725117,-105.012779
39.725359,-105.012959
39.725598,-105.013139
39.725845,-105.013314
39.72611,-105.013464
39.726368,-105.013612
39.726628,-105.013753
39.72689,-105.013883
39.727154,-105.014012
39.727418,-105.014129
39.727681,-105.014231
39.727945,-105.014327
39.728209,-105.014422
39.72847,-105.014513
39.728725,-105.014604
39.728977,-105.014701
39.729222,-105.01479
39.729464,-105.014877
39.729701,-105.014966
39.72994,-105.015047
39.730176,-105.015132
39.730409,-105.015215
39.73064,-105.015293
39.730872,-105.015369
39.73111,-105.015441
39.731352,-105.015502
39.7316,-105.015544
39.73185,-105.015577
39.732104,-105.015599
39.732355,-105.015611
39.732605,-105.015605
39.732851,-105.015581
39.733095,-105.015549
39.733336,-105.015506
39.733571,-105.015452
39.733799,-105.015383
39.734027,-105.015298
39.734263,-105.015195
39.734501,-105.015084
39.734744,-105.014962
39.734986,-105.014834
39.735231,-105.014699
39.735475,-105.01457
39.735713,-105.014452
39.735949,-105.014348
39.73618,-105.014255
39.736404,-105.014175
39.736622,-105.014102
39.736836,-105.014039
39.737046,-105.013979
39.737255,-105.013931
39.73746,-105.013894
39.737666,-105.01386
39.73787,-105.013836
39.73807,-105.013815
39.738274,-105.013801
39.738479,-105.013798
39.738686,-105.013804
39.738897,-105.013809
39.739109,-105.013816
39.739322,-105.013827
39.739535,-105.013837
39.739751,-105.013853
39.739967,-105.013871
39.740179,-105.013888
39.7404,-105.013911
39.740612,-105.013943
39.740832,-105.014011
39.741046,-105.01408
39.741259,-105.014158
39.741465,-105.014251
39.741664,-105.014355
39.741853,-105.014469
39.742039,-105.014595
39.742208,-105.014727
39.742374,-105.014866
39.74254,-105.015009
39.742698,-105.01516
39.742858,-105.015311
39.743009,-105.015459
39.743159,-105.015609
39.743306,-105.015758
39.743452,-105.015915
39.743598,-105.016067
39.743742,-105.016221
39.743888,-105.016377
39.744035,-105.016536
39.744183,-105.016695
39.744336,-105.016858
