latitude,longitude
39.731831,-104.990147
39.731831,-104.990147
39.731831,-104.990147
39.731831,-104.990147
39.731831,-104.990147
39.731831,-104.990147
39.731831,-104.990147
39.732006,-104.989899
39.732006,-104.989916
39.732003,-104.989933
39.732003,-104.989933
39.732009,-104.990012
39.732017,-104.990065
39.732023,-104.990111
39.732026,-104.99014
39.732033,-104.990152
39.73204,-104.990152
39.73204,-104.990152
39.73204,-104.990152
39.73205,-104.990157
39.732053,-104.99017
39.732065,-104.9902
39.732085,-104.990235
39.732116,-104.990263
39.732186,-104.990257
39.732248,-104.990263
39.732313,-104.990259
39.732394,-104.990248
39.732474,-104.990251
39.732564,-104.990252
39.732652,-104.990257
39.732746,-104.990268
39.732844,-104.990269
39.732943,-104.990268
39.733045,-104.990265
39.733143,-104.990265
39.733241,-104.990265
39.733329,-104.990268
39.733411,-104.990265
39.733489,-104.99026
39.733556,-104.990257
39.73361,-104.990251
39.733658,-104.990252
39.733688,-104.990254
39.733712,-104.990254
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.73372,-104.99026
39.733714,-104.990248
39.733723,-104.990254
39.733744,-104.990248
39.733771,-104.990245
39.733813,-104.990241
39.733861,-104.990246
39.733917,-104.990243
39.733985,-104.990242
39.734051,-104.990241
39.734114,-104.990234
39.734172,-104.990231
39.734228,-104.990229
39.73428,-104.990231
39.734337,-104.99024
39.734398,-104.990248
39.734466,-104.990254
39.734539,-104.990265
39.734606,-104.990264
39.734669,-104.990269
39.734729,-104.990266
39.734791,-104.99027
39.734853,-104.99027
39.734911,-104.990268
39.734963,-104.990265
39.735015,-104.990264
39.735054,-104.990262
39.735091,-104.99026
39.73511,-104.990259
39.735118,-104.990259
39.735124,-104.990259
39.735136,-104.990258
39.735156,-104.990254
39.735185,-104.990246
39.735216,-104.990225
39.73524,-104.990176
39.735251,-104.990107
39.735256,-104.990021
39.735262,-104.989924
39.73527,-104.989823
39.735275,-104.989718
39.735273,-104.989605
39.735273,-104.989488
39.735267,-104.989373
39.73526,-104.989255
39.735256,-104.989143
39.73525,-104.989036
39.735254,-104.98893
39.735254,-104.988816
39.735253,-104.9887
39.735259,-104.988576
39.735262,-104.988458
39.735265,-104.988339
39.73527,-104.988219
39.735259,-104.988114
39.735259,-104.988003
39.735258,-104.987917
39.735264,-104.987837
39.735267,-104.987777
39.735265,-104.987743
39.735268,-104.987726
39.735271,-104.98772
39.735271,-104.987714
39.735271,-104.987714
39.735271,-104.987714
39.735271,-104.987714
39.735271,-104.987714
39.735271,-104.987714
39.735251,-104.987681
39.735251,-104.987665
39.735253,-104.987653
39.735254,-104.987642
39.735254,-104.987637
39.735254,-104.987637
39.735254,-104.987637
39.735254,-104.987637
39.735254,-104.987637
39.735254,-104.987637
39.735254,-104.987637
39.735265,-104.987609
39.735265,-104.987578
39.735267,-104.987529
39.735273,-104.987474
39.735274,-104.9874
39.735279,-104.987318
39.735282,-104.987225
39.735279,-104.987125
39.735281,-104.98702
39.735285,-104.986922
39.735284,-104.986842
39.735285,-104.986769
39.735289,-104.986696
39.735291,-104.986629
39.735293,-104.986559
39.735298,-104.986488
39.735299,-104.986413
39.735299,-104.986352
39.735298,-104.9863
39.735299,-104.986256
39.735299,-104.986218
39.735312,-104.986173
39.73533,-104.986138
39.735382,-104.986112
39.735434,-104.98611
39.735503,-104.986112
39.735582,-104.986115
39.735661,-104.986116
39.735752,-104.986117
39.735839,-104.98612
39.735927,-104.986128
39.73601,-104.986132
39.73609,-104.986136
39.736173,-104.986143
39.736246,-104.986145
39.736311,-104.986145
39.736368,-104.986139
39.736418,-104.98614
39.736461,-104.986134
39.736495,-104.986139
39.736531,-104.986146
39.736564,-104.986149
39.736585,-104.986151
39.736605,-104.986151
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736613,-104.986155
39.736647,-104.986151
39.736666,-104.986151
39.736692,-104.986149
39.736731,-104.98616
39.736778,-104.986164
39.736841,-104.986165
39.736909,-104.986164
39.736992,-104.986155
39.737072,-104.986156
39.737171,-104.986153
39.737278,-104.986179
39.737379,-104.986174
39.737483,-104.986179
39.737589,-104.986184
39.737701,-104.986182
39.737812,-104.986178
39.737914,-104.986176
39.738019,-104.986167
39.738129,-104.986162
39.738226,-104.986162
39.738335,-104.986144
39.738429,-104.986136
39.738532,-104.986139
39.738638,-104.986142
39.738749,-104.986142
39.738859,-104.986148
39.738972,-104.986159
39.739078,-104.986167
39.739182,-104.986173
39.739283,-104.986173
39.739384,-104.986165
39.73949,-104.986156
39.739595,-104.986145
39.739701,-104.986132
39.739807,-104.986125
39.739922,-104.986123
39.740034,-104.986115
39.740145,-104.986114
39.740258,-104.98611
39.740376,-104.986105
39.740494,-104.986105
39.740611,-104.986109
39.740725,-104.986111
39.740838,-104.986115
39.740949,-104.98612
39.741057,-104.98612
39.741167,-104.986117
39.741276,-104.986117
39.741385,-104.986114
39.741481,-104.986119
39.741599,-104.986111
39.741701,-104.986105
39.741813,-104.986105
39.74193,-104.98611
39.742045,-104.986114
39.742163,-104.986122
39.742272,-104.98612
39.742374,-104.98612
39.742467,-104.986117
39.742546,-104.986123
39.742635,-104.986122
39.742726,-104.986126
39.742819,-104.986127
39.742906,-104.986133
39.742974,-104.986134
39.743055,-104.986139
39.74312,-104.986146
39.743154,-104.986157
39.743218,-104.986111
39.74326,-104.986043
39.743305,-104.985952
39.743297,-104.985834
39.743328,-104.985731
39.743337,-104.985625
39.743348,-104.985514
39.743369,-104.985413
39.743365,-104.985368
39.743384,-104.985301
39.743389,-104.985254
39.743393,-104.985224
39.743385,-104.985209
39.743382,-104.985199
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743378,-104.985203
39.743338,-104.985177
39.743338,-104.985146
39.74334,-104.985101
39.743356,-104.985054
39.743354,-104.98498
39.743351,-104.984907
39.74334,-104.984838
39.743333,-104.984732
39.743325,-104.984656
39.743331,-104.984541
39.743328,-104.984438
39.743334,-104.984332
39.743339,-104.984231
39.743345,-104.98413
39.743341,-104.984049
39.743339,-104.983962
39.743337,-104.983876
39.743334,-104.983781
39.743334,-104.983691
39.743342,-104.983607
39.743345,-104.983526
39.743348,-104.983437
39.743345,-104.983364
39.74335,-104.98329
39.743354,-104.983213
39.743354,-104.983142
39.743355,-104.983067
39.743351,-104.982998
39.743356,-104.982926
39.743361,-104.982874
39.743365,-104.98284
39.74337,-104.982801
39.743373,-104.982784
39.743376,-104.982778
39.743379,-104.982765
39.743383,-104.982734
39.743387,-104.982693
39.743392,-104.982638
39.743385,-104.982571
39.743379,-104.982492
39.743367,-104.982408
39.743359,-104.982304
39.743356,-104.982193
39.74335,-104.982085
39.743345,-104.981971
39.743341,-104.981859
39.74334,-104.981755
39.743337,-104.981659
39.743337,-104.981569
39.743334,-104.981479
39.743334,-104.981399
39.743331,-104.98132
39.743328,-104.98124
39.743328,-104.981147
39.743328,-104.981056
39.743328,-104.980971
39.743327,-104.980881
39.743325,-104.980787
39.743323,-104.980705
39.743325,-104.98062
39.743325,-104.980545
39.743328,-104.980472
39.743325,-104.980399
39.743325,-104.980313
39.743324,-104.980222
39.743325,-104.980122
39.743324,-104.980016
39.743322,-104.979908
39.743317,-104.979795
39.743317,-104.979677
39.743316,-104.979557
39.743317,-104.97943
39.743321,-104.979301
39.743322,-104.979168
39.743321,-104.979029
39.74332,-104.978889
39.743324,-104.978743
39.743322,-104.978602
39.743319,-104.978459
39.743317,-104.978318
39.743319,-104.978179
39.743317,-104.978045
39.743316,-104.977917
39.743317,-104.977787
39.743319,-104.977667
39.743313,-104.977548
39.743314,-104.977425
39.743311,-104.9773
39.743311,-104.977176
39.743309,-104.977059
39.743307,-104.976946
39.743308,-104.976835
39.743309,-104.976722
39.743309,-104.976611
39.74331,-104.976507
39.743311,-104.976407
39.743311,-104.976298
39.743308,-104.976174
39.743311,-104.976031
39.743313,-104.975878
39.743316,-104.975709
39.743317,-104.975533
39.743317,-104.975375
39.743316,-104.975197
39.743313,-104.975034
39.743309,-104.974875
39.74331,-104.974708
39.743313,-104.974544
39.74331,-104.974387
39.74331,-104.974222
39.743307,-104.974058
39.743305,-104.973891
39.743305,-104.973728
39.7433,-104.973568
39.7433,-104.9734
39.7433,-104.973238
39.743299,-104.973072
39.743303,-104.972909
39.743306,-104.972743
39.743308,-104.972577
39.7433,-104.972404
39.743299,-104.972231
39.743299,-104.972056
39.743297,-104.971883
39.743294,-104.971716
39.743291,-104.971544
39.743289,-104.971373
39.743286,-104.971204
39.743286,-104.971029
39.743283,-104.97086
39.743288,-104.970691
39.743285,-104.970523
39.743288,-104.97035
39.743289,-104.970182
39.743291,-104.970017
39.743293,-104.969848
39.743292,-104.969678
39.743294,-104.969512
39.743297,-104.969349
39.743296,-104.969185
39.743294,-104.969022
39.743296,-104.968859
39.743294,-104.968689
39.743293,-104.968509
39.743294,-104.968325
39.743294,-104.968142
39.743293,-104.967954
39.743288,-104.967773
39.743283,-104.967588
39.743283,-104.967402
39.743283,-104.967221
39.743283,-104.967034
39.74328,-104.966848
39.743279,-104.966667
39.74328,-104.966482
39.743277,-104.966302
39.743276,-104.966124
39.743278,-104.96595
39.743283,-104.965776
39.743285,-104.965595
39.743286,-104.965415
39.743282,-104.965237
39.74328,-104.965061
39.743278,-104.96488
39.743278,-104.964701
39.743275,-104.964525
39.743274,-104.964346
39.743278,-104.964171
39.743279,-104.964
39.743278,-104.963831
39.74328,-104.963664
39.743278,-104.963501
39.743276,-104.963343
39.743276,-104.963185
39.74328,-104.963029
39.74328,-104.962871
39.74328,-104.962719
39.743279,-104.96257
39.743275,-104.96242
39.743271,-104.962277
39.743272,-104.962134
39.743268,-104.961995
39.743266,-104.961855
39.743271,-104.961712
39.743272,-104.961575
39.743278,-104.96144
39.743277,-104.961306
39.743278,-104.961182
39.743275,-104.96107
39.743277,-104.960978
39.743277,-104.96089
39.743279,-104.960808
39.74328,-104.960727
39.74328,-104.960658
39.743279,-104.960597
39.743279,-104.960541
39.743279,-104.960499
39.743278,-104.960466
39.743274,-104.960454
39.743274,-104.960454
39.743274,-104.960454
39.743274,-104.960454
39.743274,-104.960454
39.743274,-104.960454
39.743274,-104.960454
39.743275,-104.960438
39.743274,-104.960425
39.743276,-104.960412
39.743277,-104.960389
39.743279,-104.960355
39.74328,-104.960309
39.743282,-104.960262
39.743286,-104.960203
39.743291,-104.960135
39.743297,-104.96005
39.743314,-104.959956
39.743336,-104.959857
39.743365,-104.95975
39.743396,-104.959652
39.743428,-104.959561
39.743458,-104.959472
39.7435,-104.959409
39.743558,-104.959362
39.743632,-104.959352
39.743713,-104.959364
39.743797,-104.95939
39.743883,-104.959417
39.74397,-104.959443
39.744054,-104.959471
39.744129,-104.959496
39.744197,-104.959515
39.744251,-104.959533
39.744295,-104.95955
39.744326,-104.959561
39.744347,-104.959566
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744358,-104.959567
39.744368,-104.959572
39.744389,-104.959581
39.744422,-104.959593
39.744465,-104.959612
39.744523,-104.959639
39.744592,-104.959671
39.744659,-104.959719
39.744738,-104.959756
39.744827,-104.959789
39.74492,-104.959809
39.745024,-104.95982
39.745135,-104.959821
39.74525,-104.959826
39.745374,-104.959829
39.745501,-104.959824
39.745632,-104.95983
39.74577,-104.959826
39.745909,-104.959826
39.746052,-104.959826
39.746195,-104.959825
39.746336,-104.959826
39.746479,-104.959825
39.746618,-104.959823
39.746759,-104.95982
39.746896,-104.959815
39.747029,-104.959814
39.74716,-104.959817
39.747288,-104.959818
39.747415,-104.959818
39.747537,-104.95982
39.747662,-104.959815
39.747788,-104.959811
39.747918,-104.959809
39.748056,-104.959806
39.748194,-104.959803
39.748334,-104.959802
39.748473,-104.959803
39.748608,-104.959803
39.748745,-104.959802
39.748878,-104.9598
39.74901,-104.959797
39.749123,-104.959796
39.74922,-104.959802
39.749314,-104.959797
39.749414,-104.9598
