latitude,longitude
39.655193,-104.919294
39.655494,-104.91943
39.655801,-104.919567
39.656103,-104.919698
39.656406,-104.919831
39.656707,-104.919964
39.657005,-104.920099
39.657303,-104.920229
39.657601,-104.92036
39.657897,-104.920491
39.658193,-104.920622
39.658487,-104.920752
39.65878,-104.920882
39.659071,-104.921014
39.659364,-104.921145
39.659658,-104.921273
39.659949,-104.921405
39.660243,-104.921535
39.660536,-104.921666
39.660832,-104.921796
39.661127,-104.921928
39.661421,-104.922058
39.661718,-104.922188
39.662012,-104.922321
39.662307,-104.922451
39.662603,-104.922575
39.662897,-104.922706
39.663188,-104.922839
39.663477,-104.922975
39.663765,-104.923121
39.664049,-104.923271
39.664331,-104.923424
39.664608,-104.923588
39.664885,-104.923757
39.665157,-104.923938
39.665427,-104.92412
39.665693,-104.924307
39.665957,-104.924494
39.666216,-104.924675
39.666471,-104.924858
39.66672,-104.925034
39.666965,-104.925204
39.667201,-104.925371
39.667435,-104.925536
39.667666,-104.925694
39.667893,-104.925851
39.668123,-104.926009
39.668355,-104.926169
39.668589,-104.926332
39.668827,-104.926498
39.669064,-104.926665
39.669308,-104.926829
39.669556,-104.926991
39.669806,-104.927152
39.670057,-104.927318
39.67031,-104.927486
39.670563,-104.927658
39.670814,-104.927833
39.671062,-104.928007
39.67131,-104.928179
39.671558,-104.928353
39.671808,-104.92853
39.672063,-104.928705
39.672319,-104.928879
39.672574,-104.929058
39.67283,-104.929238
39.673086,-104.92942
39.673347,-104.9296
39.673609,-104.929784
39.673869,-104.929966
39.674127,-104.93015
39.674384,-104.930332
39.674641,-104.930516
39.674896,-104.930701
39.675149,-104.930895
39.675402,-104.931102
39.675652,-104.931309
39.675898,-104.931524
39.676142,-104.931743
39.676387,-104.931958
39.676632,-104.932172
39.676879,-104.932386
39.677127,-104.932604
39.677372,-104.932819
39.677619,-104.933034
39.677865,-104.933248
39.678109,-104.933465
39.678352,-104.933681
39.678597,-104.933903
39.678839,-104.934104
39.679083,-104.934305
39.679324,-104.934505
39.679564,-104.93471
39.679801,-104.934912
39.680034,-104.935116
39.680262,-104.93533
39.680485,-104.935547
39.680704,-104.935763
39.680914,-104.935991
39.681113,-104.936218
39.68131,-104.936456
39.681501,-104.936709
39.681683,-104.936973
39.681855,-104.937258
39.682022,-104.937552
39.682184,-104.937855
39.682338,-104.938171
39.682485,-104.938494
39.682624,-104.938825
39.682752,-104.939157
39.682866,-104.9395
39.68297,-104.939844
39.683063,-104.940181
39.68315,-104.940488
39.683218,-104.940788
39.683285,-104.941043
39.683343,-104.941274
39.683398,-104.941493
39.683453,-104.941708
39.683507,-104.941924
